WGS84 UTM 17N
441050 4564012
67.53562902507838 35.256308345124125 442.63500931098696
13.722596969921142 138.0083597684279 439.1105354058722
21.02988935331814 -45.755893755704165 445.63110307414104
0.01521187846083194 -91.94656574446708 445.5820610687023
-11.913736510206945 59.77522168122232 437.67721518987344
6.764039751607925 94.4007087815553 437.99685534591197
-46.02195863076486 14.723146766424179 439.1967741935484
-21.301954018941615 -138.81641214247793 444.44711538461536
44.62643452989869 -5.5234959200024605 444.3151260504202
-66.96921440941514 -57.57254869863391 440.0840163934426
